,associatedCards,associatedCardRefs,assets,region,regionRef,attack,cost,health,description,descriptionRaw,levelupDescription,levelupDescriptionRaw,flavorText,artistName,name,cardCode,keywords,keywordRefs,spellSpeed,spellSpeedRef,rarity,rarityRef,subtype,subtypes,supertype,type,collectible,set
12,[],['01PZ013T1'],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ013.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ013-full.png'}]",Piltover & Zaun,PiltoverZaun,3,6,3,<link=keyword.PlaySkillMark><sprite name=PlaySkillMark><style=Keyword>Play</style></link>: Discard your hand. Draw 3. Deal 3 to an enemy.,Play: Discard your hand. Draw 3. Deal 3 to an enemy.,,,"His dreams cost him his hands, yet he persisted. Nothing would stand in his way.",SIXMOREVODKA,Augmented Experimenter,01PZ013,[],[],,,EPIC,Epic,,[],,Unit,True,Set1
13,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE019.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE019-full.png'}]",Demacia,Demacia,0,3,0,Reduce the cost of all allies in hand by 1.,Reduce the cost of all allies in hand by 1.,,,"""From the fields to the front in a fortnight. This is what we expect from each and every able body in Demacia."" - Garen",Kudos Productions,Mobilize,01DE019,['Burst'],['Burst'],Burst,Burst,RARE,Rare,,[],,Spell,True,Set1
14,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX004.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX004-full.png'}]",Noxus,Noxus,0,3,0,Kill a unit with 3 or less Power.,Kill a unit with 3 or less Power.,,,Everyone dies. The weak just die faster.,Rafael Zanchetin,Culling Strike,01NX004,['Fast'],['Fast'],Fast,Fast,RARE,Rare,,[],,Spell,True,Set1
15,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ007.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ007-full.png'}]",Piltover & Zaun,PiltoverZaun,2,3,4,<link=vocab.Support><style=Vocab>Support</style></link>: Shuffle 4 copies of the supported ally into your deck.,Support: Shuffle 4 copies of the supported ally into your deck.,,,"The boom of the cannons drew crowds toward the plaza, eager to see the show. It would take them weeks to wash the last of the confetti from their hair.",SIXMOREVODKA,Parade Electrorig,01PZ007,[],[],,,COMMON,Common,,[],,Unit,True,Set1
16,[],"['01PZ056T3', '01PZ056T1', '01PZ056T4', '01PZ056T7', '01PZ056T8', '01PZ056T9', '01PZ056T2', '01PZ056T6', '01PZ056T5', '01PZ015', '01PZ056']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ056T10.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ056T10-full.png'}]",Piltover & Zaun,PiltoverZaun,2,5,4,"When you cast a spell, create a <link=keyword.Fleeting><sprite name=Fleeting><style=Keyword>Fleeting</style></link> Turret in hand with equal cost. Grant it +1|+1 and it costs 0 this round.","When you cast a spell, create a Fleeting Turret in hand with equal cost. Grant it +1|+1 and it costs 0 this round.",,,"""PROGRESSSSS!""",SIXMOREVODKA,Heimerdinger,01PZ056T10,['Imbue'],['Imbue'],,,None,None,,[],Champion,Unit,False,Set1
17,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI038.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI038-full.png'}]",Shadow Isles,ShadowIsles,0,3,3,"When another ally dies, deal 1 to the enemy Nexus.","When another ally dies, deal 1 to the enemy Nexus.",,,"Her cruelest trick wasn't slaughtering the soldiers who trusted the cries of a little girl, but sowing doubt in the survivors who returned home and ignored the pleas of their daughters.",SIXMOREVODKA,Phantom Prankster,01SI038,[],[],,,RARE,Rare,,[],,Unit,True,Set1
18,[],"['01DE042', '01DE042T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE042T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE042T1-full.png'}]",Demacia,Demacia,0,3,0,"Give an ally <link=keyword.Barrier><sprite name=Barrier><style=Keyword>Barrier</style></link> this round.
Shuffle a <link=card.level1><style=AssociatedCard>Lux</style></link> into your deck.","Give an ally Barrier this round.
Shuffle a Lux into your deck.",,,"""The world can turn its back on you when you're different. People say your differences make you weak--but they make us strong, compassionate. Even in the darkest times, I'll protect you!"" - Lux",Kudos Productions,Lux's Prismatic Barrier,01DE042T1,['Burst'],['Burst'],Burst,Burst,None,None,,[],Champion,Spell,False,Set1
19,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ018.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ018-full.png'}]",Piltover & Zaun,PiltoverZaun,3,2,1,,,,,How does she aim? That's an excellent question.,SIXMOREVODKA,Academy Prodigy,01PZ018,['Quick Attack'],['QuickStrike'],,,COMMON,Common,,[],,Unit,True,Set1
20,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO045.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO045-full.png'}]",Ionia,Ionia,2,2,2,<link=vocab.Support><style=Vocab>Support</style></link>: Give my supported ally <link=keyword.Lifesteal><sprite name=Lifesteal><style=Keyword>Lifesteal</style></link> this round.,Support: Give my supported ally Lifesteal this round.,,,"""During winter's reign, we heard the tread of
Footsteps 'cross the snowy floor. 
In its wake, new vine and leaf emerged to rearrange
The forest floor and herald season's change.""
- Shon-Xan poem",SIXMOREVODKA,Herald of Spring,01IO045,[],[],,,COMMON,Common,,[],,Unit,True,Set1
21,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO008.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO008-full.png'}]",Ionia,Ionia,1,2,3,"When you <link=keyword.Stun><sprite name=Stunned><style=Keyword>Stun</style></link> or <link=keyword.Recall><style=Keyword>Recall</style></link> a unit, grant me +2|+0.","When you Stun or Recall a unit, grant me +2|+0.",,,"""Oh, so you think I'm 'cute'? 'Fuzzy'?? Let's see how 'adorable' you find THIS!""",SIXMOREVODKA,Fae Bladetwirler,01IO008,['Quick Attack'],['QuickStrike'],,,RARE,Rare,,[],,Unit,True,Set1
22,[],"['01NX032', '01NX048', '01NX005', '01NX030']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX048.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX048-full.png'}]",Noxus,Noxus,3,3,3,"When I survive damage, create a random Crimson unit in your hand.","When I survive damage, create a random Crimson unit in your hand.",,,"""Beloved companions!"" ""Were you? Well I received an invitation."" ""--Reveler's Ball! Yes!"" ""Then we must! I shall present my family."" ""Starters before dessert, my dear. And you, Kye? Will you attend?""",SIXMOREVODKA,Crimson Curator,01NX048,[],[],,,COMMON,Common,,[],,Unit,True,Set1
23,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR006.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR006-full.png'}]",Freljord,Freljord,0,5,0,Grant an ally and all allied copies of it <link=vocab.Everywhere><style=Vocab>everywhere</style></link> +2|+2.,Grant an ally and all allied copies of it everywhere +2|+2.,,,"""We few are Iceborn, our bloodlines infused with the Freljord's magic. Our ancestors locked away an ancient evil, and now we few stand guard to defend against its return."" - Gregor the Guardian",SIXMOREVODKA,Iceborn Legacy,01FR006,['Slow'],['Slow'],Slow,Slow,COMMON,Common,,[],,Spell,True,Set1
24,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR022.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR022-full.png'}]",Freljord,Freljord,1,1,1,"When I'm summoned, grant the top 2 allies in your deck +1|+1.","When I'm summoned, grant the top 2 allies in your deck +1|+1.",,,"""Three times our reavers reached Avarosan gates, and three time they were met with ready bows. What trickery warns them of our attacks?"" - Scarthane Steffen",SIXMOREVODKA,Omen Hawk,01FR022,[],[],,,COMMON,Common,,[],,Unit,True,Set1
25,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR042.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR042-full.png'}]",Freljord,Freljord,0,6,0,<link=keyword.Frostbite><sprite name=Frostbite><style=Keyword>Frostbite</style></link> 2 enemies. ,Frostbite 2 enemies. ,,,"""You'd challenge me on my own lands? You're ill-prepared, little one."" - Anivia",Kudos Productions,Harsh Winds,01FR042,['Burst'],['Burst'],Burst,Burst,RARE,Rare,,[],,Spell,True,Set1
26,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI049.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI049-full.png'}]",Shadow Isles,ShadowIsles,0,2,0,Kill an ally to draw 2.,Kill an ally to draw 2.,,,"""I have erred. We were not meant to peer beyond the pale curtain. Whatever insight lingers there comes at far too great a cost."" - Arie Wrence, Dauntless vindicator",Kudos Productions,Glimpse Beyond,01SI049,['Fast'],['Fast'],Fast,Fast,COMMON,Common,,[],,Spell,True,Set1
27,[],"['01SI002', '01SI053', '01SI053T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI053T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI053T1-full.png'}]",Shadow Isles,ShadowIsles,0,1,0,"If an ally died this round, summon 2 <link=card.create><style=AssociatedCard>Spiderlings</style></link>.
Shuffle a <link=card.level1><style=AssociatedCard>Elise</style></link> into your deck.","If an ally died this round, summon 2 Spiderlings.
Shuffle a Elise into your deck.",,,That creeping feeling on your skin isn't nearly as unsettling as the one underneath it.,Kudos Productions,Elise's Crawling Sensation,01SI053T1,['Slow'],['Slow'],Slow,Slow,None,None,,[],Champion,Spell,False,Set1
28,[],"['01FR053', '01FR009T2', '01FR009T1']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR009.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR009-full.png'}]",Freljord,Freljord,0,4,5,"The first time I survive damage, summon a <link=card.create><style=AssociatedCard>Mighty Poro</style></link>.","The first time I survive damage, summon a Mighty Poro.",I've survived 10 total damage<style=Variable></style>.,I've survived 10 total damage.,"“Papa, tell the one about Braum and his door!”
""Or when his fall split a mountain in two!""
""Oh! Whattabout when he saved the tavern from the rampaging yeti?!""",SIXMOREVODKA,Braum,01FR009,"['Challenger', 'Regeneration']","['Challenger', 'Regeneration']",,,Champion,Champion,,[],Champion,Unit,True,Set1
29,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI057.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI057-full.png'}]",Shadow Isles,ShadowIsles,7,4,7,"To play me, kill 2 allies.","To play me, kill 2 allies.",,,"""Put 'em in the cage, tum-te-dum... 
Pluck up every soul, one by one...
Never let ‘em go, no! No sir…
Else them spirits make quite a stir...""",JiHun Lee,Ancient Crocolith,01SI057,[],[],,,RARE,Rare,,[],,Unit,True,Set1
30,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE010.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE010-full.png'}]",Demacia,Demacia,5,5,4,<link=keyword.Last Breath><sprite name=LastBreath><style=Keyword>Last Breath</style></link>: Create a random Elite in hand.,Last Breath: Create a random Elite in hand.,,,"""It takes a bold heart to trust their life to a silverwing, locked in combat far above solid ground. Bold, and highly durable."" - Garen",SIXMOREVODKA,Swiftwing Lancer,01DE010,"['Last Breath', 'Challenger']","['LastBreath', 'Challenger']",,,RARE,Rare,,[],,Unit,True,Set1
31,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI023.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01SI023-full.png'}]",Shadow Isles,ShadowIsles,2,2,3,"When you summon an <link=keyword.Ephemeral><sprite name=Ephemeral><style=Keyword>Ephemeral</style></link> ally, grant it +1|+1.","When you summon an Ephemeral ally, grant it +1|+1.",,,Only the fallen knew that she did not walk alone. Only they could see the countless companions she led down the path to lands beyond.,SIXMOREVODKA,Soul Shepherd,01SI023,[],[],,,COMMON,Common,,[],,Unit,True,Set1
32,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ019.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01PZ019-full.png'}]",Piltover & Zaun,PiltoverZaun,2,2,1,"When I'm summoned, refill 2 spell mana.","When I'm summoned, refill 2 spell mana.",,,"Not everyone is cut out to further progress in Piltover immediately. Some need a little guidance--those who look at invention through the wrong lens, for instance.",SIXMOREVODKA,Eager Apprentice,01PZ019,[],[],,,COMMON,Common,,[],,Unit,True,Set1
33,[],"['01NX038T2', '01NX038T1']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX038.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX038-full.png'}]",Noxus,Noxus,6,6,5,,,I see the enemy Nexus has 10 or less Health.,I see the enemy Nexus has 10 or less Health.,"""An iron will and a titan's strength. There is no finer general to lead the Trifarian Legion."" - Jericho Swain
",SIXMOREVODKA,Darius,01NX038,['Overwhelm'],['Overwhelm'],,,Champion,Champion,,[],Champion,Unit,True,Set1
34,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO040.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO040-full.png'}]",Ionia,Ionia,2,4,2,,,,,"""Once, this place held our schools, our temples, our homes. Now, we are left to skulk about its shadow-infested ruins. Zed's Order has defiled the legacy of this sacred place--I will be sure they regret it.""",SIXMOREVODKA,Kinkou Lifeblade,01IO040,"['Lifesteal', 'Elusive']","['Lifesteal', 'Elusive']",,,COMMON,Common,,[],,Unit,True,Set1
35,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR018.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01FR018-full.png'}]",Freljord,Freljord,3,3,2,"<link=vocab.Strike><style=Vocab>Strike</style></link>: If I struck a unit with 0 Power, kill it.","Strike: If I struck a unit with 0 Power, kill it.",,,Predators of the northern reaches have learned that the easiest prey are those already crippled by winter's bite.,SIXMOREVODKA,Rimefang Wolf,01FR018,['Challenger'],['Challenger'],,,RARE,Rare,,[],,Unit,True,Set1
36,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE020.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE020-full.png'}]",Demacia,Demacia,2,2,2,,,,,"""We didn't know who or what those creatures were. But we knew the faces of our fellow soldiers by our sides, and that was all we needed.""",SIXMOREVODKA,Vanguard Defender,01DE020,['Tough'],['Tough'],,,COMMON,Common,ELITE,['ELITE'],,Unit,True,Set1
37,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE034.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE034-full.png'}]",Demacia,Demacia,2,2,2,"When you summon an Elite, grant it +1|+1.","When you summon an Elite, grant it +1|+1.",,,Wars are won in the forge.,SIXMOREVODKA,Battlesmith,01DE034,[],[],,,RARE,Rare,,[],,Unit,True,Set1
38,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE002.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE002-full.png'}]",Demacia,Demacia,7,8,7,"When I'm summoned, <link=vocab.Rally><style=Vocab>Rally</style></link>.","When I'm summoned, Rally.",,,“Our House has bled for this realm. You’ll not throw away this family’s honor for a few tricks of light.”,SIXMOREVODKA,Tianna Crownguard,01DE002,['Tough'],['Tough'],,,EPIC,Epic,,[],,Unit,True,Set1
39,[],[],"[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX023.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01NX023-full.png'}]",Noxus,Noxus,5,5,3,"When I'm summoned, grant other Spider allies +2|+0.","When I'm summoned, grant other Spider allies +2|+0.",,,A single glance and you're hers. A single bite and you're theirs.,SIXMOREVODKA,Arachnoid Host,01NX023,[],[],,,RARE,Rare,SPIDER,['SPIDER'],,Unit,True,Set1
40,[],"['01IO041', '01IO041T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO041T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01IO041T1-full.png'}]",Ionia,Ionia,5,6,4,"When you play a spell, cast it again on the same targets.","When you play a spell, cast it again on the same targets.",,,"""We'll bring peace to Ionia, whatever the cost.""",SIXMOREVODKA,Karma,01IO041T1,['Imbue'],['Imbue'],,,None,None,,[],Champion,Unit,False,Set1
41,[],"['01DE012', '01DE012T2']","[{'gameAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE012T1.png', 'fullAbsolutePath': 'http://dd.b.pvp.net/1_8_0/set1/en_us/img/cards/01DE012T1-full.png'}]",Demacia,Demacia,6,5,6,<link=vocab.RoundStart><style=Vocab>Round Start</style></link>: <link=vocab.Rally><style=Vocab>Rally</style></link>.,Round Start: Rally.,,,"""You think me rigid. Single-minded. Predictable. I am rigid, for nothing can sway me. I am single-minded, for I believe in Demacia. And I am predictable, for I will surely defeat you.”",SIXMOREVODKA,Garen,01DE012T1,['Regeneration'],['Regeneration'],,,None,None,ELITE,['ELITE'],Champion,Unit,False,Set1
